Winery,ABC #,Year,2022     BOY Inventory,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals,Monthly Avg.,Months Left,Tasting Room EOY,Remaining Inventory,Year_1,Wine,BOY Inventory,Bottling
Effingham,101638,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,196,2020,Merlot,196,0
Effingham,100465,2020,,0,0,20,3,0,4,0,8,0,0,0,0,35,9,19,,170,2020,Meritage,205,0
Effingham,102768,2020,,0,0,0,0,25,10,15,47,0,0,0,0,97,24,13,,310,2020,Tannat,407,0
Effingham,179590,2020,,12,9,16,6,17,5,11,13,0,0,0,0,89,11,3,,31,2020,Petit Verdot,120,0
Effingham,163699,2020,,0,0,73,20,18,19,18,17,0,0,0,0,165,28,5,,127,2020,Reserve,292,0
Effingham,100643,2020,,2,0,0,5,12,54,19,40,0,0,0,0,132,22,21,,463,2020,Kings Ransom,595,0
Effingham,116509,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2020,Snort,0,0
Effingham,100464,2021,,23,16,21,20,28,37,23,55,0,0,0,0,223,28,1,,40,2021,Rose,263,0
Effingham,101636,2021,,0,0,0,1,0,2,1,5,0,0,0,0,9,2,96,,215,2021,Viognier,224,0
Effingham,97511,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,182,2021,Chardonnay,182,0
Effingham,137525,2021,,2,36,60,16,36,30,6,0,0,0,0,0,186,27,0,,0,2021,Celebration,186,0
Effingham,101638,2021,,2,0,9,0,0,0,0,6,0,0,0,0,17,6,20,,111,2021,Merlot,128,0
Effingham,100465,2021,,6,6,3,0,0,0,0,0,0,0,0,0,15,5,81,,405,2021,Meritage,420,0
Effingham,102768,2021,,18,0,0,0,0,0,0,0,0,0,0,0,18,18,23,,418,2021,Tannat,436,0
Effingham,100643,2021,,10,1,3,0,2,2,0,0,0,0,0,0,18,4,89,,321,2021,Kings Ransom,339,0
Effingham,163699,2021,,0,0,0,5,6,2,0,0,0,0,0,0,13,4,114,,496,2021,Reserve,0,509
Effingham,97510,2021,,13,5,23,1,22,50,17,5,0,0,0,0,136,17,0,,0,2021,Cabernet Franc,136,0
Effingham,CLW21,2021,,0,0,0,5,1,2,1,0,0,0,0,0,9,2,2,,4,2021,Clearly White,13,0
Effingham,CLRS21,2021,,0,0,0,5,1,1,1,0,0,0,0,0,8,2,2,,3,2021,Clearly Rose,11,0
Effingham,CLSG21,2021,,0,1,1,5,3,2,1,0,0,0,0,0,13,2,2,,3,2021,Clearly Sangria,16,0
Effingham,SPRKLG21,0,,21,20,15,13,7,15,3,0,0,0,0,0,94,13,0,,0,0,Sparkling ,94,0
Effingham,100464,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,404,2022,Rose,0,404
Effingham,154310,2022,,0,0,31,17,39,67,32,32,0,0,0,0,218,36,2,,82,2022,Petit Manseng,0,300
Effingham,101636,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,249,2022,Viognier,0,249
Effingham,97511,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,375,2022,Chardonnay,0,375
Effingham,137525,2022,,0,0,0,0,0,0,0,51,0,0,0,0,51,51,6,,292,2022,Celebration,0,343
Effingham,137525,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Celebration 1.5L,0,0
Effingham,101638,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Merlot,0,0
Effingham,100465,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Meritage,0,0
Effingham,102768,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Tannat,0,0
Effingham,100643,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Kings Ransom,0,0
Effingham,163699,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Reserve,0,0
Effingham,97510,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Cabernet Franc,0,0
Effingham,CLW22,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Clearly White,0,0
Effingham,CLRS22,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Clearly Rose,0,0
Effingham,CLSG22,2022,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2022,Clearly Sangria,0,0
Effingham,SPRKLG22,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,Sparkling,0,0
Pearmund,30306,2015,,25,6,0,0,0,0,0,0,0,0,0,0,31,3,23,,60,2015,Vin de Sol,91,0
Pearmund,137517,2017,,3,4,0,0,0,0,0,0,0,0,0,0,7,1,0,,0,2017,Tugs Cuvee,7,0
Pearmund,57630,2018,,20,26,18,0,0,0,0,0,0,0,0,0,64,5,0,,0,2018,Chardonnay,64,0
Pearmund,135371,2018,,13,9,10,9,8,0,0,0,0,0,0,0,49,4,0,,0,2018,Cab Sauv Reserve,49,0
Pearmund,22921,2018,,32,60,0,0,0,0,0,0,0,0,0,0,92,8,0,,0,2018,Ameritage ,92,0
Pearmund,57632,2019,,9,32,19,24,15,0,0,0,0,0,0,0,99,8,0,,0,2019,Viognier,99,0
Pearmund,57630,2019,,0,0,0,24,26,14,22,25,0,0,0,0,111,9,27,,250,2019,Chardonnay,361,0
Pearmund,22384,2019,,7,0,0,0,0,0,0,0,0,0,0,0,7,1,0,,0,2019,Merlot,7,0
Pearmund,133688,2019,,33,26,22,22,29,30,19,24,0,0,0,0,205,17,17,,285,2019,Cab Franc,490,0
Pearmund,133687,2019,,11,16,7,9,9,7,9,16,0,0,0,0,84,7,6,,42,2019,Cab Franc Reserve,126,0
Pearmund,27736,2019,,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0,,0,2019,Petit Verdot,17,0
Pearmund,135371,2019,,0,0,0,0,5,4,10,19,0,0,0,0,38,3,11,,35,2019,Cab Sauv Reserve,73,0
Pearmund,22921,2019,,0,16,31,28,22,28,21,24,0,0,0,0,170,14,27,,376,2019,Ameritage ,546,0
Pearmund,168932,7th Mission,,22,52,57,33,67,28,27,38,0,0,0,0,324,27,7,,200,7th Mission,Black Ops,524,0
Pearmund,RIESL,2019,,4,6,7,5,7,6,8,7,0,0,0,0,50,4,2,,9,2019,Riesling,59,0
Pearmund,ALETO,2019,,34,61,17,7,1,0,0,0,0,0,0,0,120,10,0,,0,2019,Alento,120,0
Pearmund,XXAN,2019,,0,0,0,0,0,0,4,27,0,0,0,0,31,3,25,,65,2019,XX Anniversary Blend,96,0
Pearmund,57632,2020,,0,0,0,0,4,15,25,51,0,0,0,0,95,8,41,,322,2020,Viognier,417,0
Pearmund,34641,2020,,0,25,12,7,10,7,16,48,0,0,0,0,125,10,18,,190,2020,AMR,315,0
Pearmund,133688,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,384,2020,Cab Franc,384,0
Pearmund,133687,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,234,2020,Cab Franc Reserve,234,0
Pearmund,27736,2020,,0,31,14,19,57,15,11,14,0,0,0,0,161,13,10,,139,2020,Petit Verdot,300,0
Pearmund,135370,2020,,8,2,0,0,0,15,5,8,0,0,0,0,38,3,74,,235,2020,PVR,266,7
Pearmund,135371,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,139,2020,Cab Sauv Reserve,139,0
Pearmund,133687,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,662,2020,Ameritage ,662,0
Pearmund,168932,8th Mission,,0,5,0,5,0,0,0,0,0,0,0,0,10,1,701,,584,8th Mission,Black Ops,594,0
Pearmund,115264,2020,,0,9,2,1,1,1,2,0,0,0,0,0,16,1,45,,60,2020,Late Harvest Tannat,76,0
Pearmund,11198,2021,,11,30,21,19,66,28,27,25,0,0,0,0,227,19,3,,60,2021,Petit Manseng,287,0
Pearmund,168933,2021,,7,14,13,12,27,0,0,0,0,0,0,0,73,6,0,,0,2021,Sunshine,73,0
Pearmund,57632,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,240,2021,Viognier,240,0
